Title,URL,"Page Type",Published,H1,"Meta Title","Meta Description","Search Filter Year","Search Filter Make","Search Filter Model","Search Categories","Search Terms",Content,"Featured On Home Page"
"Crate Engine",crate-power/crate-engine,search,Yes,"Crate Engine","Crate Engine","Crate Engine",,,,,68660541AA;68303091AB;68303089AC;53021214DR;68303088AC;68303090AB;P5160620AA;P5160619AA;P5160618AA;P5160616AA;P5160617AA;530115570AA;P5160607AA,,No
Race,drag-pak,search,Yes,Race,"Drag Pak","Drag Pak",,,,,05038041AA;P5160239AC;P5160240AA;P5160354AC;P5160258AC;P5160232AC;P5160229AB;P5160231AC;P5160241AC;P5160246AB;P5160252AB;P5160254AA;P5160255AA;P5160256AA;P5160257AA,,No
"Race - Funny Cars",race/funny-cars,search,Yes,"Race - Funny Cars","Race - Funny Cars","Race - Funny Cars",,,,,P5156300AC;P5160612AA;P5160613AA;P5160614AA;P5160615AA,,No
"Race - Drag Pak Kits",race/drag-pak-kits,search,Yes,"Race - Drag Pak Kits","Race - Drag Pak Kits","Race - Drag Pak Kits",,,,,P5160240AA;P5160251AA;P5160255AA;P5160257AA;P5160256AA;P5160254AA;P5160258AC;P5160333AB;P5160241AC;P5160231AC;P5160239AC;P5160232AC;P5160246AB;P5160252AB;P5160354AC;P5161750AC;P5160609AA;P5160605AA;P5160608AA;P5160604AA-KIT2;P5160604AA-KIT1;P5160229AB,,No
"Race - Licensed Parts",drag-pak-licensed-parts,search,Yes,"Race - Licensed Parts","Race - Licensed Parts","Race - Licensed Parts",,,,,P5160169AD;FSX-100-0026;AR7-826-2GB;CHR-IV-DPM003315053-MT;CHR-EV-DPM003315053-MT;FSX-100-0149;DWU-LC-2754-070;H4121SP6068S;DPC-17218400HR;FSX-100-0171;FSX-100-0172;DKP-CRANK-1;DG-BDP57-4HT-6300B7W;SRT-354SC-AB-125;233-000-17-X233AA8;FSX-100-0059;FSX-100-0156;FSX-100-0163;21165;24165,,No
"2026 Dodge Charger Hustle Stuff Drag Pak by Direct Connection",2026-dodge-charger-hustle-stuff-drag-pak-by-direct-connection,page,Yes,"2026 Dodge Charger Hustle Stuff Drag Pak by Direct Connection","2026 Dodge Charger Hustle Stuff Drag Pak by Direct Connection",,,,,,,,
"Vintage Muscle",vintage-muscle,search,Yes,"Vintage Muscle","Vintage Muscle","Vintage Muscle",,,,,P4120484;P4510640;P5249270;P5249315;P5249316AB;P5007747;P5249444;P4120272AB;P4120446;P4349816AB;P4529882;P2785434;P2998326;P3690731;P3690732;P4286759AB;77R06285;P4529794;77R06286;P4120294;P4349278;P4349279;P4452989;P4529791;P4529797;01949765;P4876820;P5007617;P5007620;P1671446;P3412049;P3690855;P4120613;P4529838;P4529070AB;P5007449;P3571071;P3690715;P3690874;P3690875;P4286590;P4286800;P4452890;P3690944;P4286571;P4286589;P4529563;P1737725;P4349628;P4349629;P3614321AB;P3690896;P4006767AB;P5249267;P4876062;P4876064;P5249878;03587440;P4876658;P3690182;P4120074;P4452987;P4529514;P3412002/03;P3412003;P3690455;P3690457;P4120863;P4120864;P3412002;P3690454;P4452982;P4452983;P4452984;P4452985,,No
"Vintage Muscle Air & Fuel",vintage-muscle/air-and-fuel,search,Yes,"Vintage Muscle Air & Fuel","Vintage Muscle Air & Fuel","Vintage Muscle Air & Fuel",,,,,,,No
"Vintage Muscle Brakes",vintage-muscle/brakes,search,Yes,"Vintage Muscle Brakes","Vintage Muscle Brakes","Vintage Muscle Brakes",,,,,,,No
"Vintage Muscle Drivetrain",vintage-muscle/drivetrain,search,Yes,"Vintage Muscle Drivetrain","Vintage Muscle Drivetrain","Vintage Muscle Drivetrain",,,,,,,No
"Vintage Muscle Engine Parts",vintage-muscle/engine-parts,search,Yes,"Vintage Muscle Engine Parts","Vintage Muscle Engine Parts","Vintage Muscle Engine Parts",,,,,,,No
"Vintage Muscle Exterior",vintage-muscle/exterior,search,Yes,"Vintage Muscle Exterior","Vintage Muscle Exterior","Vintage Muscle Exterior",,,,,,,No
"Vintage Muscle Suspension",vintage-muscle/suspension,search,Yes,"Vintage Muscle Suspension","Vintage Muscle Suspension","Vintage Muscle Suspension",,,,,P4120864;P3690455;P3690457;P4120074;P3690454;P4452984;P4452983;P4452985;P4120863;P3412003;P3412002;P4452982;P4529514,,No
"Vintage Muscle - Licensed Parts",vintage-muscle-licensed-parts,search,Yes,"Vintage Muscle - Licensed Parts","Vintage Muscle - Licensed Parts","Vintage Muscle - Licensed Parts",,,,,,"<p>Finale Speed is a custom car manufacturer/restorer located in Yukon, Oklahoma. While the name is new to the industry, our team of highly skilled craftsmen have decades of experience building high-end performance supercars combined with our corporate passion for the industry.</p>
<p>Our first project will be the 1970 Dodge Charger with a body fully made carbon fiber. These bodies will be produced in an autoclave, resulting in the finest quality available. The custom chassis will be fitted with a 6.2L Supercharged Dodge Hellcat Crate engine. The client will be able to determine the desired gearbox along with several custom interior options. Each car will have the looks of an iconic muscle car with the performance of a supercar of today.&nbsp;
</p>
<p>Finale Speed is focused on innovation. We strive to be recognized as a premiere car builder, beginning with the Carbon Fiber 1970 Dodge Charger, offering the complete resto-mod as well as individual parts like the carbon fiber hood and trunk pieces. We will develop and create unique products that engage the larger audience.&nbsp;</p>
<p><img class=""img-responsive w-100"" src=""https://cdn.revolutionparts.io/6f87c75737bcc72b4674a498139b574d/design/70Charger-2.jpg"" alt=""Finale Speed"" title=""Finale Speed"" style=""width: 366.875px;""></p>
<p>Planned future products under the Mopar license would include the Barracuda and the Roadrunner. We plan on participating in various trade shows, car shows and auctions, as well as different events to promote and enhance the Finale and Mopar brands.
</p>
<p>Rolling Chassis begins at $199,000.00. To learn more and/or to schedule a consultation with Finale Speed, please call <b>(800) 619-9716 </b>or visit<b> <a href=""https://www.finalespeed.com/1970-dodge-charger"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://www.finalespeed.com/1970-dodge-charger&source=gmail&ust=1660943806333000&usg=AOvVaw3keyToL0tATUzveMZC7ajM"">1970 Dodge Charger &mdash; Finale Speed LLC | Custom Cars</a>.</b></p>
<h3>Shop Vintage Muscle Licensed Parts</h3>",No
"Crate Power",crate-power,search,Yes,"Direct Connection Crate Power","Direct Connection Crate Power","Direct Connection Crate Power",,,,,68660541AA;68303091AB;68303089AC;53021214DR;68303088AC;68303090AB;P5160620AA;P5160619AA;P5160618AA;P5160616AA;P5160617AA;530115570AA;P5160607AA;53011570AA;P5160606AA;77072601AB;77073010AA;77072454AI;77072455AH;77072452AF;77072500AD;77072451AG;77072453AG;77072447;77072450AB;77072462AB;77072445;77072448;77072446AB;77072492;77072493;68303089AB;68303091AA;P5160194AC;68303088AB;PW100003AB;PW100004;PW100051AA;PW100052AA;PW100053AA;PW100054AA,,No
